file,line,keyword,match
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,186,crap,"clrrdi	r11,r16,12		/* Clear low crap in EA */"
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,187,crap,"clrldi	r15,r15,12		/* Clear crap at the top */"
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,284,crap,* r15 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,288,crap,* r10 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,474,crap,"clrldi	r15,r15,PAGE_SHIFT	/* Clear crap at the top */"
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,515,crap,* r14 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,518,crap,* r11 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,519,crap,* r10 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,671,crap,* r15 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,675,crap,* r11 = crap (free to use)
https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/tree/arch/powerpc/mm/nohash/tlb_low_64e.S,676,crap,* r10 = crap (free to use)
